(-4.360805772047354,-14.240649980131138)
(-4.112612630286658,-14.459201392743047)
(-3.8442707152198587,-14.695558598392356)
(-3.551964745647435,-14.9470926444148)
(-3.2322537440454937,-15.21064362867536)
(-2.8821392678747566,-15.482574436602324)
(-2.499125980984852,-15.75883303921471)
(-2.0812735037615226,-16.035022270029383)
(-1.6272386322582701,-16.30647586845109)
(-1.1363071839683683,-16.568339468047277)
(-0.6084149082238852,-16.815655121878674)
(-0.04415708931760065,-17.04344789530317)
(0.5552133329762525,-17.246813020465673)
(1.1877991011644784,-17.421002096656814)
(1.8510832125427406,-17.561506837051382)
(2.5419643075603293,-17.664138904728745)
(3.2568022670861003,-17.725104448606523)
(3.9914732340863868,-17.741072041798684)
(4.741433111332156,-17.70923283935125)
(5.501788439330362,-17.627351907316072)
(6.267373430297907,-17.493809828355346)
(7.032831826897122,-17.3076338578583)
(7.792702170479877,-17.068518085965877)
(8.541505004223492,-16.776832251783006)
(9.273830502792885,-16.433619053096127)
(9.984425012642458,-16.040579994676495)
(10.668275005883782,-15.600050017270647)
(11.32068699548849,-15.114961344191485)
(11.937362029668746,-14.588797169647156)
(12.514463477377227,-14.025535989321398)
(13.048676933354193,-13.429587536181815)
(13.537261207991337,-12.805721430222258)
(13.978089522111615,-12.158989777301436)
(14.369680196878289,-11.494645057233672)
(14.711216311500145,-10.818054722980401)
(15.002553993007925,-10.13461398978161)
(15.244219199822352,-9.449658324341813)
(15.437393060672454,-8.768377149223065)
(15.583886029188296,-8.095730256297198)
(15.686101308726412,-7.436368375841955)
(15.746988188310887,-6.794559275464275)
(15.769986105754198,-6.174120666739958)
(15.758960415008518,-5.57836107896488)
(15.718130978795894,-5.010029720761443)
(15.651994832069628,-4.471276193901366)
(15.565244264705957,-3.9636207523004883)
(15.46268175122461,-3.4879356156942523)
(15.349133209913909,-3.0444376552114853)
(15.229361102535467,-2.6326925702579875)
(15.107978888311205,-2.2516304762548796)
(14.989368322103438,-1.8995726243092366)
(14.877601037003034,-1.5742687802904132)
(14.776365776803507,-1.2729446053987292)
(14.688902545363074,-0.992358206375765)
(14.617944819351123,-0.7288648640357583)
(14.565670830436153,-0.478488806570071)
(14.533664765043653,-0.23700077156447052)
(14.522888557135452,0.0)
(14.533664765043682,0.2370007715645468)
(14.565670830436199,0.4784888065702072)
(14.617944819351186,0.7288648640358979)
(14.68890254536317,0.9923582063759149)
(14.776365776803614,1.2729446053988889)
(14.87760103700318,1.5742687802905977)
(14.989368322103592,1.899572624309436)
(15.10797888831135,2.2516304762550927)
(15.229361102535648,2.6326925702582478)
(15.349133209914081,3.0444376552117607)
(15.462681751224746,3.487935615694596)
(15.565244264706074,3.963620752300839)
(15.651994832069757,4.47127619390178)
(15.718130978795998,5.01002972076186)
(15.758960415008621,5.578361078965374)
(15.769986105754263,6.174120666740449)
(15.746988188310917,6.794559275464758)
(15.68610130872642,7.436368375842514)
(15.583886029188266,8.095730256297742)
(15.437393060672349,8.768377149223632)
(15.244219199822215,9.449658324342346)
(15.002553993007737,10.13461398978221)
(14.711216311499921,10.81805472298096)
(14.36968019687804,11.494645057234184)
(13.978089522111295,12.158989777302004)
(13.537261207990996,12.805721430222771)
(13.048676933353766,13.429587536182366)
(12.514463477376786,14.025535989321886)
(11.937362029668252,14.588797169647618)
(11.320686995487975,15.114961344191903)
(10.668275005883203,15.600050017271048)
(9.984425012641887,16.04057999467683)
(9.273830502792338,16.4336190530964)
(8.541505004222865,16.776832251783258)
(7.792702170479279,17.068518085966065)
(7.032831826896479,17.307633857858455)
(6.267373430297305,17.493809828355445)
(5.501788439329693,17.627351907316132)
(4.74143311133154,17.70923283935126)
(3.9914732340857455,17.741072041798652)
(3.2568022670855177,17.72510444860645)
(2.541964307559809,17.66413890472865)
(1.8510832125421868,17.561506837051223)
(1.1877991011639915,17.421002096656636)
(0.55521333297576,17.24681302046546)
(-0.04415708931802742,17.043447895302958)
(-0.6084149082243155,16.815655121878397)
(-1.1363071839687298,16.568339468047014)
(-1.6272386322586256,16.30647586845081)
(-2.08127350376182,16.035022270029117)
(-2.499125980985098,15.758833039214464)
(-2.8821392678749835,15.482574436602048)
(-3.232253744045675,15.210643628675111)
(-3.5519647456476138,14.947092644414553)
(-3.8442707152200035,14.695558598392148)
(-4.112612630286779,14.459201392742834)
(-4.360805772047449,14.240649980130959)
(-4.592965028646744,14.041958120733344)
(-4.813425039865334,13.864570400950974)
(-5.026656579705224,13.7092991029049)
(-5.237180638689028,13.576312324876923)
(-5.449481707616846,13.465133557005643)
(-5.667921778333319,13.374652717149143)
(-5.896656564511084,13.303148452342878)
(-6.139555406773182,13.248321315184254)
(-6.400126262328836,13.207337235172634)
(-6.681447090799299,13.176880525816841)
(-6.9861048366025065,13.15321550230687)
(-7.316143076081232,13.132255634619664)
(-7.673019246798468,13.109639029696295)
(-8.057572209706153,13.08080892607208)
(-8.470000715117857,13.041097796978434)
(-8.909853153708408,12.985813594985236)
(-9.376028777421155,12.910326633809207)
(-9.866790375601074,12.810155591628762)
(-10.379788192357614,12.681051135315156)
(-10.912094675561534,12.519075706152028)
(-11.460249459394166,12.320678074154909)
(-12.020313804274135,12.082761358862529)
(-12.587933553379973,11.802743327875204)
(-13.158409516731377,11.478607918490596)
(-13.726774064462054,11.108947080203643)
(-14.287872602764502,10.692992203944998)
(-14.836448520889409,10.230634584809527)
(-15.36723013702158,9.72243455552822)
(-15.875018135881787,9.169619124751755)
(-16.354771982128682,8.574068153921028)
(-16.80169381120967,7.938289305626329)
(-17.211308342928714,7.265382191442466)
(-17.5795374319049,6.55899233487874)
(-17.90276796208996,5.8232557420402316)
(-18.17791190798005,5.062735035781723)
(-18.40245752108894,4.2823482557135275)
(-18.57451075428466,3.4872915538386255)
(-18.692826206050547,2.6829571216506376)
(-18.75682704867017,1.8748477673556376)
(-18.766613595589984,1.0684896200608924)
(-18.722960360459812,0.26934447028588426)
(-18.627301660160427,-0.5172767375676881)
(-18.48170601302566,-1.2862977652094352)
(-18.2888397779972,-2.032956843391854)
(-18.05192066723071,-2.7528809594968138)
(-17.774661940456102,-3.442153386690097)
(-17.4612082511268,-4.097373289050131)
(-17.116064259260728,-4.7157063748264285)
(-16.744017251362518,-5.29492572559213)
(-16.35005511173902,-5.833442099820241)
(-15.939281070074157,-6.330323192364071)
(-15.516826705912614,-6.785301523280328)
(-15.087764720746438,-7.198770827059473)
(-14.657022992181808,-7.571771013188162)
(-14.229301402119203,-7.905961967587419)
(-13.808992882402288,-8.20358665839505)
(-13.40011004782018,-8.467424195420787)
(-13.006218688965756,-8.700733667165986)
(-12.630379277950603,-8.907189739532553)
(-12.275097500434397,-9.090811143461892)
(-11.942284670267767,-9.255883302256745)
(-11.633228711006689,-9.406876451099205)
(-11.348576204623024,-9.548360679518279)
(-11.088325815109146,-9.684919380920114)
(-10.851833196702366,-9.821062620845597)
(-10.637827296580165,-9.96114193688488)
(-10.444437763574102,-10.10926805813465)
(-10.269232981166986,-10.269232981167002)
(-10.109268058134637,-10.444437763574122)
(-9.961141936884873,-10.637827296580191)
(-9.821062620845584,-10.851833196702398)
(-9.684919380920109,-11.088325815109183)
(-9.548360679518273,-11.34857620462307)
(-9.406876451099203,-11.633228711006737)
(-9.255883302256736,-11.942284670267831)
(-9.090811143461877,-12.27509750043446)
(-8.907189739532534,-12.630379277950674)
(-8.700733667165967,-13.006218688965827)
(-8.46742419542076,-13.400110047820254)
(-8.203586658395016,-13.808992882402377)
(-7.905961967587376,-14.229301402119294)
(-7.571771013188115,-14.657022992181895)
(-7.198770827059418,-15.087764720746527)
(-6.785301523280256,-15.516826705912704)
(-6.3303231923639895,-15.939281070074246)
(-5.83344209982015,-16.350055111739103)
(-5.294925725592038,-16.744017251362596)
(-4.7157063748263095,-17.116064259260817)
(-4.097373289050011,-17.461208251126873)
(-3.442153386689969,-17.774661940456173)
(-2.7528809594966877,-18.051920667230767)
(-2.032956843391724,-18.28883977799725)
(-1.2862977652092893,-18.4817060130257)
(-0.5172767375675377,-18.627301660160455)
(0.26934447028602726,-18.72296036045983)
(1.0684896200610339,-18.766613595589988)
(1.8748477673557984,-18.756827048670168)
(2.6829571216507992,-18.69282620605053)
(3.487291553838786,-18.57451075428463)
(4.282348255713669,-18.402457521088902)
(5.062735035781884,-18.177911907979997)
(5.823255742040377,-17.9027679620899)
(6.558992334878879,-17.57953743190483)
(7.265382191442585,-17.21130834292864)
(7.938289305626464,-16.801693811209574)
(8.574068153921143,-16.354771982128582)
(9.169619124751861,-15.875018135881682)
(9.722434555528311,-15.367230137021474)
(10.230634584809607,-14.836448520889304)
(10.692992203945074,-14.287872602764388)
(11.10894708020371,-13.726774064461939)
(11.47860791849065,-13.158409516731261)
(11.802743327875241,-12.58793355337986)
(12.082761358862566,-12.020313804274009)
(12.320678074154932,-11.460249459394056)
(12.519075706152044,-10.912094675561425)
(12.681051135315167,-10.379788192357521)
(12.810155591628767,-9.866790375600974)
(12.910326633809207,-9.376028777421066)
(12.985813594985231,-8.909853153708324)
(13.041097796978429,-8.470000715117786)
(13.080808926072065,-8.057572209706091)
(13.109639029696279,-7.673019246798406)
(13.132255634619646,-7.316143076081177)
(13.153215502306859,-6.986104836602463)
(13.17688052581683,-6.681447090799264)
(13.207337235172627,-6.400126262328795)
(13.248321315184251,-6.13955540677315)
(13.303148452342882,-5.896656564511054)
(13.374652717149148,-5.667921778333302)
(13.465133557005656,-5.449481707616825)
(13.576312324876943,-5.237180638689009)
(13.709299102904927,-5.026656579705205)
(13.864570400951003,-4.813425039865316)
(14.04195812073338,-4.592965028646724)
(14.240649980131003,-4.36080577204742)
(14.459201392742882,-4.112612630286745)
(14.695558598392203,-3.8442707152199738)
(14.947092644414614,-3.5519647456475787)
(15.210643628675179,-3.232253744045625)
(15.482574436602114,-2.8821392678749276)
(15.75883303921453,-2.4991259809850366)
(16.03502227002918,-2.081273503761753)
(16.306475868450875,-1.62723863225854)
(16.568339468047075,-1.1363071839686385)
(16.81565512187846,-0.6084149082242145)
(17.043447895303014,-0.04415708931792128)
(17.246813020465513,0.5552133329758697)
(17.42100209665668,1.1877991011641222)
(17.561506837051255,1.8510832125423204)
(17.664138904728674,2.541964307559943)
(17.72510444860647,3.256802267085652)
(17.74107204179866,3.991473234085898)
(17.70923283935125,4.741433111331691)
(17.62735190731612,5.501788439329846)
(17.493809828355424,6.267373430297455)
(17.307633857858416,7.032831826896641)
(17.06851808596602,7.792702170479435)
(16.776832251783198,8.541505004223009)
(16.43361905309633,9.273830502792476)
(16.040579994676754,9.984425012642019)
(15.600050017270956,10.668275005883338)
(15.114961344191798,11.320686995488108)
(14.588797169647506,11.937362029668371)
(14.02553598932177,12.51446347737689)
(13.429587536182233,13.048676933353871)
(12.805721430222636,13.537261207991083)
(12.158989777301871,13.97808952211137)
(11.494645057234054,14.369680196878104)
(10.818054722980817,14.711216311499982)
(10.134613989782064,15.00255399300778)
(9.449658324342204,15.244219199822247)
(8.7683771492235,15.437393060672367)
(8.095730256297617,15.583886029188275)
(7.436368375842381,15.686101308726421)
(6.794559275464634,15.746988188310912)
(6.174120666740335,15.769986105754251)
(5.578361078965271,15.758960415008602)
(5.010029720761751,15.718130978795967)
(4.471276193901683,15.651994832069722)
(3.9636207523007516,15.565244264706035)
(3.4879356156945205,15.462681751224707)
(3.044437655211684,15.34913320991404)
(2.6326925702581816,15.229361102535607)
(2.2516304762550368,15.107978888311317)
(1.899572624309392,14.989368322103552)
(1.5742687802905566,14.87760103700315)
(1.2729446053988445,14.776365776803587)
(0.9923582063758827,14.688902545363147)
(0.7288648640358636,14.617944819351173)
(0.47848880657018344,14.565670830436188)
(0.237000771564518,14.533664765043673)
(-2.0668314960876976E-14,14.522888557135452)
(-0.23700077156455973,14.533664765043687)
(-0.47848880657022896,14.565670830436211)
(-0.7288648640359285,14.617944819351203)
(-0.9923582063759411,14.688902545363193)
(-1.2729446053989275,14.776365776803642)
(-1.5742687802906472,14.877601037003206)
(-1.8995726243094848,14.989368322103626)
(-2.2516304762551433,15.107978888311393)
(-2.6326925702583064,15.229361102535682)
(-3.0444376552118224,15.349133209914122)
(-3.4879356156946635,15.462681751224777)
(-3.9636207523009106,15.565244264706108)
(-4.471276193901854,15.65199483206978)
(-5.01002972076197,15.718130978796026)
(-5.578361078965484,15.758960415008637)
(-6.1741206667405635,15.769986105754278)
(-6.794559275464881,15.74698818831093)
(-7.436368375842632,15.686101308726418)
(-8.095730256297864,15.58388602918826)
(-8.768377149223745,15.437393060672331)
(-9.449658324342462,15.244219199822192)
(-10.134613989782316,15.0025539930077)
(-10.818054722981106,14.711216311499864)
(-11.49464505723433,14.369680196877972)
(-12.158989777302134,13.978089522111219)
(-12.8057214302229,13.537261207990909)
(-13.429587536182476,13.04867693335368)
(-14.025535989321991,12.51446347737669)
(-14.588797169647707,11.937362029668158)
(-15.114961344191986,11.320686995487875)
(-15.600050017271144,10.668275005883066)
(-16.040579994676914,9.984425012641745)
(-16.43361905309647,9.273830502792189)
(-16.776832251783315,8.541505004222719)
(-17.068518085966115,7.7927021704791315)
(-17.30763385785849,7.0328318268963415)
(-17.493809828355467,6.267373430297168)
(-17.62735190731614,5.501788439329568)
(-17.70923283935126,4.741433111331418)
(-17.74107204179864,3.991473234085584)
(-17.725104448606437,3.256802267085374)
(-17.664138904728613,2.5419643075596703)
(-17.561506837051187,1.851083212542065)
(-17.42100209665659,1.187799101163877)
(-17.24681302046542,0.5552133329756619)
(-17.043447895302904,-0.04415708931811624)
(-16.815655121878354,-0.6084149082243919)
(-16.568339468046958,-1.1363071839687993)
(-16.306475868450736,-1.6272386322587102)
(-16.035022270029053,-2.0812735037618944)
(-15.758833039214398,-2.499125980985158)
(-15.482574436601988,-2.8821392678750364)
(-15.210643628675053,-3.232253744045715)
(-14.947092644414509,-3.551964745647651)
(-14.695558598392099,-3.8442707152200284)
(-14.459201392742797,-4.1126126302868045)
(-14.240649980130915,-4.360805772047478)
(-14.041958120733309,-4.592965028646761)
(-13.864570400950944,-4.813425039865357)
(-13.70929910290488,-5.026656579705238)
(-13.576312324876906,-5.237180638689049)
(-13.465133557005634,-5.449481707616861)
(-13.374652717149136,-5.667921778333343)
(-13.303148452342883,-5.896656564511101)
(-13.248321315184253,-6.13955540677321)
(-13.20733723517264,-6.400126262328874)
(-13.176880525816857,-6.681447090799341)
(-13.15321550230688,-6.986104836602559)
(-13.132255634619678,-7.316143076081284)
(-13.109639029696302,-7.673019246798528)
(-13.080808926072097,-8.057572209706217)
(-13.04109779697844,-8.470000715117925)
(-12.985813594985242,-8.909853153708477)
(-12.910326633809213,-9.376028777421261)
(-12.810155591628757,-9.866790375601177)
(-12.681051135315151,-10.379788192357724)
(-12.519075706152007,-10.912094675561637)
(-12.320678074154884,-11.460249459394278)
(-12.082761358862493,-12.020313804274236)
(-11.802743327875163,-12.587933553380083)
(-11.478607918490548,-13.158409516731469)
(-11.108947080203588,-13.726774064462154)
(-10.69299220394491,-14.287872602764637)
(-10.230634584809437,-14.836448520889528)
(-9.722434555528116,-15.367230137021696)
(-9.169619124751652,-15.875018135881886)
(-8.57406815392091,-16.35477198212878)
